Policy No;campaign_Period;campaign_type;product
000079952376;May-Jun24;2;LGC
000079953070;May-Jun24;2;LGC
000080003871;May-Jun24;2;LGC
000079961381;May-Jun24;2;LGC
000079983404;May-Jun24;2;LGC
000080041924;May-Jun24;2;LGC
000079882824;May-Jun24;2;LGC
000080040235;May-Jun24;2;LGC
000080128575;May-Jun24;2;LGC
000079876659;May-Jun24;2;LGC
000079765269;May-Jun24;2;LGC
000079771760;May-Jun24;2;LGC
000079837067;May-Jun24;2;LGC
000079771049;May-Jun24;2;LGC
000080254301;May-Jun24;2;LGC
000080254834;May-Jun24;2;LGC
000079886540;May-Jun24;2;LGC
000080279522;May-Jun24;2;LGC
000079796812;May-Jun24;2;LGC
000079796662;May-Jun24;2;LGC
000080260380;May-Jun24;2;LGC
000079981452;May-Jun24;2;LGC
000080297249;May-Jun24;2;LGC
000079771851;May-Jun24;2;LGC
000079731624;May-Jun24;2;LGC
000079780047;May-Jun24;2;LGC
000079728900;May-Jun24;2;LGC
000079978746;May-Jun24;2;LGC
000080031303;May-Jun24;2;LGC
000080302194;May-Jun24;2;LGC
000080315611;May-Jun24;2;LGC
000080311381;May-Jun24;2;LGC
000079760992;May-Jun24;2;LGC
000079761287;May-Jun24;2;LGC
000079963431;May-Jun24;2;LGC
000079729409;May-Jun24;2;LGC
000079777198;May-Jun24;2;LGC
000079751240;May-Jun24;2;LGC
000079783798;May-Jun24;2;LGC
000079835773;May-Jun24;2;LGC
000079796291;May-Jun24;2;LGC
000079712300;May-Jun24;2;LGC
000080042545;May-Jun24;2;LGC
000079779140;May-Jun24;2;LGC
000079746010;May-Jun24;2;LGC
000079818965;May-Jun24;2;LGC
000079687700;May-Jun24;2;LGC
000079660577;May-Jun24;2;LGC
000079968041;May-Jun24;2;LGC
000079746992;May-Jun24;2;LGC
000079972408;May-Jun24;2;LGC
000079759783;May-Jun24;2;LGC
000079864835;May-Jun24;2;LGC
000080013945;May-Jun24;2;LGC
000079679446;May-Jun24;2;LGC
000080301188;May-Jun24;2;LGC
000079834318;May-Jun24;2;LGC
000079663749;May-Jun24;2;LGC
000079987160;May-Jun24;2;LGC
000080294266;May-Jun24;2;LGC
000079799007;May-Jun24;2;LGC
000080222495;May-Jun24;2;LGC
000080221850;May-Jun24;2;LGC
000079777576;May-Jun24;2;LGC
000079795148;May-Jun24;2;LGC
000079891378;May-Jun24;2;LGC
000079891503;May-Jun24;2;LGC
000079832614;May-Jun24;2;LGC
000079832965;May-Jun24;2;LGC
000080047558;May-Jun24;2;LGC
000080299247;May-Jun24;2;LGC
000079886600;May-Jun24;2;LGC
000079798120;May-Jun24;2;LGC
000080262318;May-Jun24;2;LGC
000079891906;May-Jun24;2;LGC
000080187177;May-Jun24;2;LGC
000079926513;May-Jun24;2;LGC
000079729300;May-Jun24;2;LGC
000079850029;May-Jun24;2;LGC
000080049283;May-Jun24;2;LGC
000080159394;May-Jun24;2;LGC
000080105990;May-Jun24;2;LGC
000080000275;May-Jun24;2;LGC
000079684801;May-Jun24;2;LGC
000079799319;May-Jun24;2;LGC
000079778992;May-Jun24;2;LGC
000079778322;May-Jun24;2;LGC
000079693225;May-Jun24;2;LGC
000080111672;May-Jun24;2;LGC
000079805816;May-Jun24;2;LGC
000079817433;May-Jun24;2;LGC
000079836915;May-Jun24;2;LGC
000079829407;May-Jun24;2;LGC
000080088563;May-Jun24;2;LGC
000079675086;May-Jun24;2;LGC
000079612964;May-Jun24;2;LGC
000079910126;May-Jun24;2;LGC
000079546711;May-Jun24;2;LGC
000079545489;May-Jun24;2;LGC
000079870367;May-Jun24;2;LGC
000079755404;May-Jun24;2;LGC
000079755502;May-Jun24;2;LGC
000080210920;May-Jun24;2;LGC
000079752512;May-Jun24;2;LGC
000079685552;May-Jun24;2;LGC
000079614520;May-Jun24;2;LGC
000080301580;May-Jun24;2;LGC
000080028584;May-Jun24;2;LGC
000080006619;May-Jun24;2;LGC
000080269739;May-Jun24;2;LGC
000079876914;May-Jun24;2;LGC
000079877171;May-Jun24;2;LGC
000079877270;May-Jun24;2;LGC
000080020287;May-Jun24;2;LGC
000079728242;May-Jun24;2;LGC
000079757147;May-Jun24;2;LGC
000080243786;May-Jun24;2;LGC
000080244063;May-Jun24;2;LGC
000080317921;May-Jun24;2;LGC
000079776682;May-Jun24;2;LGC
000079967680;May-Jun24;2;LGC
000080289296;May-Jun24;2;LGC
000079778438;May-Jun24;2;LGC
000079798646;May-Jun24;2;LGC
000080090256;May-Jun24;2;LGC
000080011537;May-Jun24;2;LGC
000079596035;May-Jun24;2;LGC
000079859514;May-Jun24;2;LGC
000079596550;May-Jun24;2;LGC
000080032555;May-Jun24;2;LGC
000079701114;May-Jun24;2;LGC
000079698063;May-Jun24;2;LGC
000079810520;May-Jun24;2;LGC
000079885286;May-Jun24;2;LGC
000079646994;May-Jun24;2;LGC
000079881840;May-Jun24;2;LGC
000080305380;May-Jun24;2;LGC
000080305678;May-Jun24;2;LGC
000079869347;May-Jun24;2;LGC
000079780373;May-Jun24;2;LGC
000079797791;May-Jun24;2;LGC
000079811232;May-Jun24;2;LGC
000079661551;May-Jun24;2;LGC
000079966831;May-Jun24;2;LGC
000079545211;May-Jun24;2;LGC
000079617483;May-Jun24;2;LGC
000080034448;May-Jun24;2;LGC
000080309362;May-Jun24;2;LGC
000079731481;May-Jun24;2;LGC
000079804264;May-Jun24;2;LGC
000079796252;May-Jun24;2;LGC
000079811895;May-Jun24;2;LGC
000079886410;May-Jun24;2;LGC
000079804590;May-Jun24;2;LGC
000080195046;May-Jun24;2;LGC
000079915850;May-Jun24;2;LGC
000079524888;May-Jun24;2;LGC
000079600215;May-Jun24;2;LGC
000079799365;May-Jun24;2;LGC
000079924203;May-Jun24;2;LGC
000079550721;May-Jun24;2;LGC
000079607538;May-Jun24;2;LGC
000079840579;May-Jun24;2;LGC
000079723215;May-Jun24;2;LGC
000079876406;May-Jun24;2;LGC
000079975034;May-Jun24;2;LGC
000080030694;May-Jun24;2;LGC
000079842871;May-Jun24;2;LGC
000080302860;May-Jun24;2;LGC
000079530233;May-Jun24;2;LGC
000079835486;May-Jun24;2;LGC
000080187621;May-Jun24;2;LGC
000080187250;May-Jun24;2;LGC
000079901272;May-Jun24;2;LGC
000080053689;May-Jun24;2;LGC
000079752198;May-Jun24;2;LGC
000079669190;May-Jun24;2;LGC
000080125949;May-Jun24;2;LGC
000079859676;May-Jun24;2;LGC
000079843681;May-Jun24;2;LGC
000080286638;May-Jun24;2;LGC
000080247593;May-Jun24;2;LGC
000080246457;May-Jun24;2;LGC
000079701367;May-Jun24;2;LGC
000079701401;May-Jun24;2;LGC
000079664117;May-Jun24;2;LGC
000079705415;May-Jun24;2;LGC
000079728144;May-Jun24;2;LGC
000079661362;May-Jun24;2;LGC
000080032341;May-Jun24;2;LGC
000079659304;May-Jun24;2;LGC
000079794671;May-Jun24;2;LGC
000079852672;May-Jun24;2;LGC
000080015501;May-Jun24;2;LGC
000079299801;May-Jun24;2;LGC
000079696320;May-Jun24;2;LGC
000079796382;May-Jun24;2;LGC
000080027364;May-Jun24;2;LGC
000079884854;May-Jun24;2;LGC
000079796410;May-Jun24;2;LGC
000079633057;May-Jun24;2;LGC
000079798398;May-Jun24;2;LGC
000079919408;May-Jun24;2;LGC
000079929444;May-Jun24;2;LGC
000080134323;May-Jun24;2;LGC
000080133150;May-Jun24;2;LGC
000079788663;May-Jun24;2;LGC
000079788911;May-Jun24;2;LGC
000080008943;May-Jun24;2;LGC
000079890809;May-Jun24;2;LGC
000079796844;May-Jun24;2;LGC
000080247613;May-Jun24;2;LGC
000080029485;May-Jun24;2;LGC
000080030427;May-Jun24;2;LGC
000079880521;May-Jun24;2;LGC
000079714035;May-Jun24;2;LGC
000079780282;May-Jun24;2;LGC
000079728007;May-Jun24;2;LGC
000079678395;May-Jun24;2;LGC
000079967590;May-Jun24;2;LGC
000080052749;May-Jun24;2;LGC
000080212336;May-Jun24;2;LGC
000080212252;May-Jun24;2;LGC
000079951640;May-Jun24;2;LGC
000080212311;May-Jun24;2;LGC
000079783741;May-Jun24;2;LGC
000080119388;May-Jun24;2;LGC
000079794254;May-Jun24;2;LGC
000079999197;May-Jun24;2;LGC
000079604268;May-Jun24;2;LGC
000079872060;May-Jun24;2;LGC
000080042051;May-Jun24;2;LGC
000079754788;May-Jun24;2;LGC
000079972766;May-Jun24;2;LGC
000079984715;May-Jun24;2;LGC
000080089810;May-Jun24;2;LGC
000079869200;May-Jun24;2;LGC
000079794566;May-Jun24;2;LGC
000079815838;May-Jun24;2;LGC
000079841900;May-Jun24;2;LGC
000079889145;May-Jun24;2;LGC
000079114576;May-Jun24;2;LGC
000079803076;May-Jun24;2;LGC
000079731631;May-Jun24;2;LGC
000079778740;May-Jun24;2;LGC
000079778757;May-Jun24;2;LGC
000079964703;May-Jun24;2;LGC
000079767859;May-Jun24;2;LGC
000079778042;May-Jun24;2;LGC
000080138109;May-Jun24;2;LGC
000079873111;May-Jun24;2;LGC
000079451467;May-Jun24;2;LGC
000079876028;May-Jun24;2;LGC
000079851907;May-Jun24;2;LGC
000079547175;May-Jun24;2;LGC
000080049980;May-Jun24;2;LGC
000079712370;May-Jun24;2;LGC
000079818138;May-Jun24;2;LGC
000079854435;May-Jun24;2;LGC
000079759790;May-Jun24;2;LGC
000079605841;May-Jun24;2;LGC
000080167119;May-Jun24;2;LGC
000079961706;May-Jun24;2;LGC
000079871692;May-Jun24;2;LGC
000080245570;May-Jun24;2;LGC
000079790219;May-Jun24;2;LGC
000079624157;May-Jun24;2;LGC
000080312047;May-Jun24;2;LGC
000079744871;May-Jun24;2;LGC
000079980551;May-Jun24;2;LGC
000080149554;May-Jun24;2;LGC
000080309200;May-Jun24;2;LGC
000079584790;May-Jun24;2;LGC
000080312106;May-Jun24;2;LGC
000080309127;May-Jun24;2;LGC
000080315896;May-Jun24;2;LGC
000080084619;May-Jun24;2;LGC
000079863303;May-Jun24;2;LGC
000079852059;May-Jun24;2;LGC
000079863367;May-Jun24;2;LGC
000080235001;May-Jun24;2;LGC
000079851529;May-Jun24;2;LGC
000079729507;May-Jun24;2;LGC
000079582056;May-Jun24;2;LGC
000079664195;May-Jun24;2;LGC
000079817910;May-Jun24;2;LGC
000079612900;May-Jun24;2;LGC
000079713414;May-Jun24;2;LGC
000079946812;May-Jun24;2;LGC
000079687180;May-Jun24;2;LGC
000079946480;May-Jun24;2;LGC
000079804492;May-Jun24;2;LGC
000080019470;May-Jun24;2;LGC
000079589460;May-Jun24;2;LGC
000080002455;May-Jun24;2;LGC
000080002539;May-Jun24;2;LGC
000080049212;May-Jun24;2;LGC
000079713576;May-Jun24;2;LGC
000079778610;May-Jun24;2;LGC
000079876887;May-Jun24;2;LGC
000079957045;May-Jun24;2;LGC
000079667890;May-Jun24;2;LGC
000079797850;May-Jun24;2;LGC
000079858333;May-Jun24;2;LGC
000080255858;May-Jun24;2;LGC
000079815442;May-Jun24;2;LGC
000079663938;May-Jun24;2;LGC
000079663984;May-Jun24;2;LGC
000079632905;May-Jun24;2;LGC
000079444597;May-Jun24;2;LGC
000080011635;May-Jun24;2;LGC
000079854820;May-Jun24;2;LGC
000079747287;May-Jun24;2;LGC
000079855024;May-Jun24;2;LGC
000080000334;May-Jun24;2;LGC
000079712675;May-Jun24;2;LGC
000079747658;May-Jun24;2;LGC
000080301983;May-Jun24;2;LGC
000079998296;May-Jun24;2;LGC
000079998370;May-Jun24;2;LGC
000080006073;May-Jun24;2;LGC
000079868159;May-Jun24;2;LGC
000079798054;May-Jun24;2;LGC
000079765062;May-Jun24;2;LGC
000080305457;May-Jun24;2;LGC
000079827175;May-Jun24;2;LGC
000080034357;May-Jun24;2;LGC
000080087147;May-Jun24;2;LGC
000079832867;May-Jun24;2;LGC
000080014696;May-Jun24;2;LGC
000079986303;May-Jun24;2;LGC
000080305398;May-Jun24;2;LGC
000079712759;May-Jun24;2;LGC
000079728834;May-Jun24;2;LGC
000080010447;May-Jun24;2;LGC
000079758440;May-Jun24;2;LGC
000079726220;May-Jun24;2;LGC
000079899962;May-Jun24;2;LGC
000079945929;May-Jun24;2;LGC
000080034150;May-Jun24;2;LGC
000079963827;May-Jun24;2;LGC
000079593091;May-Jun24;2;LGC
000079943392;May-Jun24;2;LGC
000079547826;May-Jun24;2;LGC
000079834900;May-Jun24;2;LGC
000079835090;May-Jun24;2;LGC
000079805101;May-Jun24;2;LGC
000079816070;May-Jun24;2;LGC
000080307605;May-Jun24;2;LGC
000079729710;May-Jun24;2;LGC
000079794559;May-Jun24;2;LGC
000079648764;May-Jun24;2;LGC
000079584022;May-Jun24;2;LGC
000080113170;May-Jun24;2;LGC
000079877321;May-Jun24;2;LGC
000079975680;May-Jun24;2;LGC
000080186738;May-Jun24;2;LGC
000079969468;May-Jun24;2;LGC
000079336224;May-Jun24;2;LGC
000079653422;May-Jun24;2;LGC
000079624132;May-Jun24;2;LGC
000079647394;May-Jun24;2;LGC
000079857850;May-Jun24;2;LGC
000079727061;May-Jun24;2;LGC
000080270780;May-Jun24;2;LGC
000079762951;May-Jun24;2;LGC
000079326210;May-Jun24;2;LGC
000079733630;May-Jun24;2;LGC
000079877412;May-Jun24;2;LGC
000079607857;May-Jun24;2;LGC
000079852906;May-Jun24;2;LGC
000079671983;May-Jun24;2;LGC
000079739308;May-Jun24;2;LGC
000079776741;May-Jun24;2;LGC
000079776690;May-Jun24;2;LGC
000080200733;May-Jun24;2;LGC
000079769840;May-Jun24;2;LGC
000080009760;May-Jun24;2;LGC
000079982640;May-Jun24;2;LGC
000079525050;May-Jun24;2;LGC
000079982945;May-Jun24;2;LGC
000079525067;May-Jun24;2;LGC
000079465453;May-Jun24;2;LGC
000079781743;May-Jun24;2;LGC
000079772843;May-Jun24;2;LGC
000079777537;May-Jun24;2;LGC
000079734113;May-Jun24;2;LGC
000079663640;May-Jun24;2;LGC
000079736995;May-Jun24;2;LGC
000080217864;May-Jun24;2;LGC
000079830260;May-Jun24;2;LGC
000079830206;May-Jun24;2;LGC
000079523923;May-Jun24;2;LGC
000079850922;May-Jun24;2;LGC
000079984109;May-Jun24;2;LGC
000079685545;May-Jun24;2;LGC
000079648347;May-Jun24;2;LGC
000080051634;May-Jun24;2;LGC
000080047806;May-Jun24;2;LGC
000079966915;May-Jun24;2;LGC
000079968665;May-Jun24;2;LGC
000079843264;May-Jun24;2;LGC
000079797303;May-Jun24;2;LGC
000079831310;May-Jun24;2;LGC
000079606006;May-Jun24;2;LGC
000080033169;May-Jun24;2;LGC
000079795884;May-Jun24;2;LGC
000079667745;May-Jun24;2;LGC
000079646857;May-Jun24;2;LGC
000079700291;May-Jun24;2;LGC
000079652455;May-Jun24;2;LGC
000079622603;May-Jun24;2;LGC
000079622908;May-Jun24;2;LGC
000079798184;May-Jun24;2;LGC
000080011699;May-Jun24;2;LGC
000080260933;May-Jun24;2;LGC
000080284220;May-Jun24;2;LGC
000080284458;May-Jun24;2;LGC
000079813567;May-Jun24;2;LGC
000079728638;May-Jun24;2;LGC
000079812550;May-Jun24;2;LGC
000079812725;May-Jun24;2;LGC
000079816122;May-Jun24;2;LGC
000079609361;May-Jun24;2;LGC
000079753816;May-Jun24;2;LGC
000079719153;May-Jun24;2;LGC
000079688059;May-Jun24;2;LGC
000079983247;May-Jun24;2;LGC
000079846131;May-Jun24;2;LGC
000080167511;May-Jun24;2;LGC
000079664787;May-Jun24;2;LGC
000079628178;May-Jun24;2;LGC
000079656601;May-Jun24;2;LGC
000080317504;May-Jun24;2;LGC
000079713271;May-Jun24;2;LGC
000079712181;May-Jun24;2;LGC
000079557718;May-Jun24;2;LGC
000079795845;May-Jun24;2;LGC
000079871359;May-Jun24;2;LGC
000079740426;May-Jun24;2;LGC
000079781898;May-Jun24;2;LGC
000080048390;May-Jun24;2;LGC
000080046254;May-Jun24;2;LGC
000079876270;May-Jun24;2;LGC
000079591530;May-Jun24;2;LGC
000079965798;May-Jun24;2;LGC
000080300724;May-Jun24;2;LGC
000079387661;May-Jun24;2;LGC
000079968189;May-Jun24;2;LGC
000080274124;May-Jun24;2;LGC
000080287651;May-Jun24;2;LGC
000079994850;May-Jun24;2;LGC
000079794770;May-Jun24;2;LGC
000080216507;May-Jun24;2;LGC
000079827858;May-Jun24;2;LGC
000079807293;May-Jun24;2;LGC
000080299360;May-Jun24;2;LGC
000080298788;May-Jun24;2;LGC
000080032204;May-Jun24;2;LGC
000079731148;May-Jun24;2;LGC
000079779633;May-Jun24;2;LGC
000080284570;May-Jun24;2;LGC
000079647323;May-Jun24;2;LGC
000079688550;May-Jun24;2;LGC
000079962471;May-Jun24;2;LGC
000079973870;May-Jun24;2;LGC
000080205950;May-Jun24;2;LGC
000080205147;May-Jun24;2;LGC
000079572697;May-Jun24;2;LGC
000079911893;May-Jun24;2;LGC
000080128894;May-Jun24;2;LGC
000079223845;May-Jun24;2;LGC
000079660174;May-Jun24;2;LGC
000079869582;May-Jun24;2;LGC
000079583836;May-Jun24;2;LGC
000080187783;May-Jun24;2;LGC
000079677539;May-Jun24;2;LGC
000080034325;May-Jun24;2;LGC
000079946935;May-Jun24;2;LGC
000079983345;May-Jun24;2;LGC
000080122399;May-Jun24;2;LGC
000079852339;May-Jun24;2;LGC
000079735684;May-Jun24;2;LGC
000079861292;May-Jun24;2;LGC
000079675828;May-Jun24;2;LGC
000079796721;May-Jun24;2;LGC
000079799358;May-Jun24;2;LGC
000080136027;May-Jun24;2;LGC
000079758563;May-Jun24;2;LGC
000079841703;May-Jun24;2;LGC
000080086474;May-Jun24;2;LGC
000079883406;May-Jun24;2;LGC
000079919317;May-Jun24;2;LGC
000079883042;May-Jun24;2;LGC
000079795695;May-Jun24;2;LGC
000079592660;May-Jun24;2;LGC
000080246061;May-Jun24;2;LGC
000079954237;May-Jun24;2;LGC
000079570628;May-Jun24;2;LGC
000080011765;May-Jun24;2;LGC
000079701009;May-Jun24;2;LGC
000079778347;May-Jun24;2;LGC
000080173492;May-Jun24;2;LGC
000080026105;May-Jun24;2;LGC
000080018874;May-Jun24;2;LGC
000080030655;May-Jun24;2;LGC
000080195790;May-Jun24;2;LGC
000079602375;May-Jun24;2;LGC
000080013262;May-Jun24;2;LGC
000079709598;May-Jun24;2;LGC
000079890887;May-Jun24;2;LGC
000079090145;May-Jun24;2;LGC
000079815207;May-Jun24;2;LGC
000079955093;May-Jun24;2;LGC
000079758836;May-Jun24;2;LGC
000079800660;May-Jun24;2;LGC
000080015018;May-Jun24;2;LGC
000079798229;May-Jun24;2;LGC
000079798061;May-Jun24;2;LGC
000079731793;May-Jun24;2;LGC
000079731779;May-Jun24;2;LGC
000079807156;May-Jun24;2;LGC
000079775448;May-Jun24;2;LGC
000079871621;May-Jun24;2;LGC
000079871639;May-Jun24;2;LGC
000079835395;May-Jun24;2;LGC
000079662946;May-Jun24;2;LGC
000079584086;May-Jun24;2;LGC
000079815540;May-Jun24;2;LGC
000079774989;May-Jun24;2;LGC
000079816291;May-Jun24;2;LGC
000079850036;May-Jun24;2;LGC
000079848532;May-Jun24;2;LGC
000079852002;May-Jun24;2;LGC
000079582589;May-Jun24;2;LGC
000079582532;May-Jun24;2;LGC
000080012003;May-Jun24;2;LGC
000079826530;May-Jun24;2;LGC
000080035128;May-Jun24;2;LGC
000079583713;May-Jun24;2;LGC
000079804642;May-Jun24;2;LGC
000079799620;May-Jun24;2;LGC
000079834683;May-Jun24;2;LGC
000079844862;May-Jun24;2;LGC
000079844823;May-Jun24;2;LGC
000079995380;May-Jun24;2;LGC
000080049777;May-Jun24;2;LGC
000079957799;May-Jun24;2;LGC
000079957416;May-Jun24;2;LGC
000080158331;May-Jun24;2;LGC
000079861410;May-Jun24;2;LGC
000079853566;May-Jun24;2;LGC
000079688469;May-Jun24;2;LGC
000079669092;May-Jun24;2;LGC
000080211428;May-Jun24;2;LGC
000079886040;May-Jun24;2;LGC
000079797458;May-Jun24;2;LGC
000080277998;May-Jun24;2;LGC
000079839853;May-Jun24;2;LGC
000079796655;May-Jun24;2;LGC
000079776422;May-Jun24;2;LGC
000079499847;May-Jun24;2;LGC
000079975763;May-Jun24;2;LGC
000079585456;May-Jun24;2;LGC
000079618490;May-Jun24;2;LGC
000079739413;May-Jun24;2;LGC
000079739460;May-Jun24;2;LGC
000080227307;May-Jun24;2;LGC
000080127993;May-Jun24;2;LGC
000079912279;May-Jun24;2;LGC
000079912254;May-Jun24;2;LGC
000079858704;May-Jun24;2;LGC
000079799470;May-Jun24;2;LGC
000079775865;May-Jun24;2;LGC
000079795032;May-Jun24;2;LGC
000079795040;May-Jun24;2;LGC
000079935960;May-Jun24;2;LGC
000080063588;May-Jun24;2;LGC
000079834620;May-Jun24;2;LGC
000080314507;May-Jun24;2;LGC
000080188326;May-Jun24;2;LGC
000079800464;May-Jun24;2;LGC
000079990905;May-Jun24;2;LGC
000079723566;May-Jun24;2;LGC
000079876732;May-Jun24;2;LGC
000080173667;May-Jun24;2;LGC
000079634655;May-Jun24;2;LGC
000079877977;May-Jun24;2;LGC
000079606060;May-Jun24;2;LGC
000080166264;May-Jun24;2;LGC
000079643290;May-Jun24;2;LGC
000079743325;May-Jun24;2;LGC
000079681070;May-Jun24;2;LGC
000079603595;May-Jun24;2;LGC
000079586143;May-Jun24;2;LGC
000079743880;May-Jun24;2;LGC
000079940675;May-Jun24;2;LGC
000079890992;May-Jun24;2;LGC
000079835349;May-Jun24;2;LGC
000080012200;May-Jun24;2;LGC
000080010780;May-Jun24;2;LGC
000080316421;May-Jun24;2;LGC
000080310820;May-Jun24;2;LGC
000079660020;May-Jun24;2;LGC
000080113600;May-Jun24;2;LGC
000079900931;May-Jun24;2;LGC
000080011674;May-Jun24;2;LGC
000080268239;May-Jun24;2;LGC
000080256150;May-Jun24;2;LGC
000080044126;May-Jun24;2;LGC
000079730580;May-Jun24;2;LGC
000079847221;May-Jun24;2;LGC
000079701062;May-Jun24;2;LGC
000079885723;May-Jun24;2;LGC
000079841644;May-Jun24;2;LGC
000079528982;May-Jun24;2;LGC
000079773310;May-Jun24;2;LGC
000080234574;May-Jun24;2;LGC
000080038913;May-Jun24;2;LGC
000079466386;May-Jun24;2;LGC
000079453283;May-Jun24;2;LGC
000079858137;May-Jun24;2;LGC
000080210338;May-Jun24;2;LGC
000080312008;May-Jun24;2;LGC
000079764343;May-Jun24;2;LGC
000079654271;May-Jun24;2;LGC
000079831178;May-Jun24;2;LGC
000079930471;May-Jun24;2;LGC
000080031654;May-Jun24;2;LGC
000079366702;May-Jun24;2;LGC
000080051602;May-Jun24;2;LGC
000079871425;May-Jun24;2;LGC
000079778249;May-Jun24;2;LGC
000079666498;May-Jun24;2;LGC
000079811947;May-Jun24;2;LGC
000080254925;May-Jun24;2;LGC
000080034396;May-Jun24;2;LGC
000080034560;May-Jun24;2;LGC
000079758738;May-Jun24;2;LGC
000080303883;May-Jun24;2;LGC
000080243467;May-Jun24;2;LGC
000079603966;May-Jun24;2;LGC
000079967074;May-Jun24;2;LGC
000079816714;May-Jun24;2;LGC
000079798471;May-Jun24;2;LGC
000079878475;May-Jun24;2;LGC
000079802416;May-Jun24;2;LGC
000079802507;May-Jun24;2;LGC
000079872638;May-Jun24;2;LGC
000079803408;May-Jun24;2;LGC
000080303609;May-Jun24;2;LGC
000079802266;May-Jun24;2;LGC
000080214290;May-Jun24;2;LGC
000080040144;May-Jun24;2;LGC
000079759692;May-Jun24;2;LGC
000079611440;May-Jun24;2;LGC
000079689072;May-Jun24;2;LGC
000079865593;May-Jun24;2;LGC
000079846860;May-Jun24;2;LGC
000079869504;May-Jun24;2;LGC
000079736676;May-Jun24;2;LGC
000079788214;May-Jun24;2;LGC
000079786991;May-Jun24;2;LGC
000079839814;May-Jun24;2;LGC
000080272133;May-Jun24;2;LGC
000079799092;May-Jun24;2;LGC
000079885163;May-Jun24;2;LGC
000079902915;May-Jun24;2;LGC
