PRODUCT_CODE;PR_CURR;POLICY_NO_Count;pre_ann_Sum;PR_SA_Sum;total_fund_Sum
BASE_SLPN1;IDR;42;42240000;1056000000;913848887,6
BASE_SLPN2;IDR;16;14640000;366000000;906301443,8
BASE_SLPOA;IDR;179215;2,02E+12;6,47E+13;3,98E+12
BASE_SLPP;IDR;315;4977100004;1,10E+11;24909999392
BASE_SLPP;USD;23;69700;903500;163479,7543
BASE_SLPPN;IDR;67;356600000;9660000000;4367269120
BASE_SLPS;IDR;253;7005749996;80633500000;22388190725
BASE_SLSA;IDR;78;885112008,1;39300000000;5603125885
BASE_SLSA2;IDR;869;6452571992;3,40E+11;18327749405
BASE_SLSS;IDR;176;761559996;24321000000;7873781299
BASE_SLSS;USD;3;2700;45000;34586,60056
BASE_SLSSP;IDR;103;4521000000;37075000000;12640180768
BASE_SLUS;IDR;1483;70548872680;9,94E+11;1,22E+11
BASE_SLVM1;IDR;16;320000000;900000000;771251275,9
BASE_SLVM2;IDR;16;320000000;1450000000;1533572696
BASE_SLVM3;IDR;7;140000000;500000000;1860261010
BASE_SLVP;IDR;165;11889999996;1,46E+11;25952044101
BASE_SMP1B;IDR;50;1000000000;1250000000;5932405167
BASE_SMP2B;IDR;18;360000000;450000000;3436947017
BASE_SMP3B;IDR;13;260000000;325000000;3155866813
BASE_SMPV;IDR;3;18000000;550000000;92473566,68
BASE_UML;IDR;3;600000000;750000000;1000037145
ULGALLOC;IDR;4598;27921572487;13726000000;1,04E+11
ULGALLOC;USD;7;33273;2450;21741,49377
ULSPOOL;IDR;84;3181003588;411000000;4944587180
